表面,裏面,Word,Audio,Image
adjustment<br>[sound:ukadjus001.mp3],"調節, 調整, 修正<br><img src=""adjustment.jpg""><br><i>a small change that you make to something so that it works better, fits better, or is more suitable</i><br>We've made a few adjustments to the schedule.",adjustment,ukadjus001.mp3,adjustment.jpg
administration<br>[sound:ukadjus007.mp3],"管理, 運営<br><img src=""administration.jpg""><br><i>the things that you have to do to manage the work of an organization</i><br>the Obama administration",administration,ukadjus007.mp3,administration.jpg
admire<br>[sound:ukadjus016.mp3],"～に見とれる<br><img src=""admire.jpg""><br><i>to look at something or someone and think that he, she, or it is attractive</i><br>I was just admiring your shirt.",admire,ukadjus016.mp3,admire.jpg
admit<br>[sound:ukadjus024.mp3],"（罪などを）認める , （～であると）自白する<br><img src=""admit.jpg""><br><i>to agree that you did something bad, or that something bad is TRUE</i><br>Both men admitted to taking illegal drugs.",admit,ukadjus024.mp3,admit.jpg
admittance<br>[sound:ukadjus025.mp3],"入場，入場許可&nbsp;<br><img src=""admittance.jpg""><br><i>permission to enter a place:</i><br>The sign read ""Private - no admittance"".",admittance,ukadjus025.mp3,admittance.jpg
in advance<br>[sound:ukadult007.mp3],"事前に, 前もって<br><img src=""paste-999c82aafccbff3af4485f0ca2d047e342ce0b10.png""><br><i>before a particular time</i><br>We booked our tickets in advance.",in advance,ukadult007.mp3,paste-999c82aafccbff3af4485f0ca2d047e342ce0b10.png
advanced<br>[sound:ukadult008.mp3],"上級の, 高度な<br><img src=""advanced.jpg""><br><i>at a higher, more difficult level</i><br>an advanced English Course",advanced,ukadult008.mp3,advanced.jpg
advantage<br>[sound:ukadult010.mp3],"利点, 有利な点, 強み<br><img src=""paste-65eec8e56e4102a33047f1dc7c5f4e0396ea11d4.png""><br><i>something good that helps you</i><br>One advantage of living in town is being close to all the shops.",advantage,ukadult010.mp3,paste-65eec8e56e4102a33047f1dc7c5f4e0396ea11d4.png
advantageous<br>[sound:ukadult011.mp3],"有利な, 都合のよい<br><img src=""advantageous.jpg""><br><i>helping to make you more successful</i><br>advantageous interest rates",advantageous,ukadult011.mp3,advantageous.jpg
advertise<br>[sound:ukadult029.mp3],"～を宣伝する, 広告する<br><img src=""advertise.jpg""><br><i>to tell people about a product or service, on television, on the internet, in newspapers, etc., so that people will buy it</i><br>Companies are not allowed to advertise cigarettes on television.",advertise,ukadult029.mp3,advertise.jpg
advertisement<br>[sound:ukadult030.mp3],"広告, 宣伝<br><img src=""paste-6b58112ed112d7d140cc2c380697ffa1c03ed028.jpg""><br><i>a picture, shortfilm, etc. that is designed to persuade people to buy something</i><br>a newspaper/television/online advertisement",advertisement,ukadult030.mp3,paste-6b58112ed112d7d140cc2c380697ffa1c03ed028.jpg
advice<br>[sound:ukadver004.mp3],"助言, アドバイス<br><img src=""advice.jpg""><br><i>suggestions about what you think someone should do</i><br>This book gives advice on saving money.",advice,ukadver004.mp3,advice.jpg
advise<br>[sound:ukadver007.mp3],"～に助言する, アドバイスする<br><img src=""advise.jpg""><br><i>to tell someone that they should do something</i><br>I would advise him to see a doctor.",advise,ukadver007.mp3,advise.jpg
affect<br>[sound:ukaerog018.mp3],"～に影響する, 影響を与える<br><img src=""paste-394d642b39a9dc0ff72a61c575d95f4ddb372886.png""><br><i>to cause a change in someone or something</i><br>How will the new road affect the community?",affect,ukaerog018.mp3,paste-394d642b39a9dc0ff72a61c575d95f4ddb372886.png
afford<br>[sound:ukaffir011.mp3],"（～を買う）お金がある/ない, （～する）時間がある/ない<br><img src=""afford.jpg""><br><i>to have/not have enough money to buy something or enough time to do something</i><br>Can we afford a new car?",afford,ukaffir011.mp3,afford.jpg
affordable<br>[sound:ukaffir012.mp3],"手頃な価格の, 手が届く値段の<br><img src=""paste-593d22b51c2ea54da6f5c03c83e08c83d735542e.jpg""><br><i>cheap enough for most people</i><br>affordable housing/prices",affordable,ukaffir012.mp3,paste-593d22b51c2ea54da6f5c03c83e08c83d735542e.jpg
agency<br>[sound:ukage__008.mp3],"代理店<br><img src=""agency.jpg""><br><i>a business that provides a service</i><br>an advertising agency",agency,ukage__008.mp3,agency.jpg
agenda<br>[sound:ukage__009.mp3],"議題, 協議事項<br><img src=""agenda.jpg""><br><i>a list of subjects that people will discuss at a meeting</i><br>There are several items on the agenda.",agenda,ukage__009.mp3,agenda.jpg
agree<br>[sound:ukagita021.mp3],"賛成する, 同感である<br><img src=""agree.jpg""><br><i>to have the same opinion as someone</i><br>I agree with you.",agree,ukagita021.mp3,agree.jpg
agreeable<br>[sound:ukagita022.mp3],"快い，感じ[愛想]のよい.<br><img src=""agreeable.jpg""><br><i>pleasant or pleasing:</i><br>We spent a most agreeable evening by the river.",agreeable,ukagita022.mp3,agreeable.jpg
agreement<br>[sound:ukagita024.mp3],"合意<br><img src=""agreement.jpg""><br><i>a promise or decision made between two or more people</i><br>The company and the union reached an agreement.",agreement,ukagita024.mp3,agreement.jpg
agriculture<br>[sound:ukagita027.mp3],"農業; 農芸
《★畜産・林業を含む》.<br><img src=""agriculture.jpg""><br><i>farming:</i><br>Agriculture is still largely based on traditional methods in some countries.",agriculture,ukagita027.mp3,agriculture.jpg
aid<br>[sound:ukaha__008.mp3],"救助, 支援, 支援物資<br><img src=""aid.jpg""><br><i>help, or something such as food or equipment that gives help</i><br>Emergency aid was sent to the flood victims.",aid,ukaha__008.mp3,aid.jpg
aim<br>[sound:ukaha__015.mp3],"目的, 目標, ねらい<br><img src=""aim.jpg""><br><i>a result that you try to achieve</i><br>The aim of the movie was to make people laugh.",aim,ukaha__015.mp3,aim.jpg
airline<br>[sound:ukairfi010.mp3],"航空会社<br><img src=""airline.jpg""><br><i>a company that takes people and things to places in planes</i><br>What airline did you fly with?",airline,ukairfi010.mp3,airline.jpg
aisle<br>[sound:ukairwo004.mp3],"（座席間の）通路<br><img src=""aisle.jpg""><br><i>a passage between the lines of seats in a plane, church, theatre, etc.</i><br>Would you like an aisle seat or would you prefer to be by the window?",aisle,ukairwo004.mp3,aisle.jpg
alarm<br>[sound:ukairwo018.mp3],"警報<br><img src=""alarm.jpg""><br><i>a loud noise that tells you there is danger</i><br>a fire alarm",alarm,ukairwo018.mp3,alarm.jpg
allow<br>[sound:ukallev015.mp3],"～に許可する, （～することを）～に許す<br><img src=""allow.jpg""><br><i>to say that someone can do something</i><br>They didn't allow me to finish what I was doing.",allow,ukallev015.mp3,allow.jpg
alternative<br>[sound:ukaltar009.mp3],"（2つ以上から）選択できるもの<br><img src=""alternative.jpg""><br><i>one of two or more things that you can choose between</i><br>Olive oil is a healthy alternative to butter.",alternative,ukaltar009.mp3,alternative.jpg
ambitious<br>[sound:ukamalg030.mp3],"野心的な, 大志を抱いた<br><img src=""ambitious.jpg""><br><i>wanting to be successful or powerful</i><br>an ambitious young lawyer",ambitious,ukamalg030.mp3,ambitious.jpg
amend<br>[sound:ukambit018.mp3],"〈議案などを〉修正する.<br><img src=""amend.jpg""><br><i>to change the words of a text, especially a law or a legal document:</i><br>MPs were urged to amend the law to prevent another oil tanker disaster.",amend,ukambit018.mp3,amend.jpg
amount<br>[sound:ukamort005.mp3],"量, 額<br><img src=""amount.jpg""><br><i>how much there is of something</i><br>He ate a huge amount of food.",amount,ukamort005.mp3,amount.jpg
amusing<br>[sound:ukamusi001.mp3],"おもしろい, おかしい<br><img src=""amusing.jpg""><br><i>funny</i><br>an amusing letter",amusing,ukamusi001.mp3,amusing.jpg
analyse<br>[sound:ukamusi023.mp3],"（英）～を分析する, 解析する<br><img src=""paste-adf28358750a42f8e3c0d6e30950f3ca34dab74d.png""><br><i>to look at and think about something carefully, in order to understand it</i><br>to analyse information",analyse,ukamusi023.mp3,paste-adf28358750a42f8e3c0d6e30950f3ca34dab74d.png
analysis<br>[sound:ukamusi025.mp3],"分析, 解析<br><img src=""analysis.jpg""><br><i>the process of analysing something</i><br>A sample of soil was sent for analysis.",analysis,ukamusi025.mp3,analysis.jpg
announcement<br>[sound:ukanima030.mp3],"発表, 公表, 声明<br><img src=""announcement.jpg""><br><i>something that someone says officially, giving new information about something</i><br>The Prime Minister made an unexpected announcement this morning.",announcement,ukanima030.mp3,announcement.jpg
annoying<br>[sound:ukannou005.mp3],"腹立たしい, 迷惑な、うるさい<br><img src=""annoying.jpg""><br><i>making you feel a little angry</i><br>She has an annoying habit of interrupting people.",annoying,ukannou005.mp3,annoying.jpg
annual<br>[sound:ukannou007.mp3],"年に一度の, 毎年恒例の<br><img src=""paste-6401a4827dc472d7f5f3d05882acdad4bb768f0a.jpg""><br><i>happening once a year</i><br>an annual meeting",annual,ukannou007.mp3,paste-6401a4827dc472d7f5f3d05882acdad4bb768f0a.jpg
anticipate<br>[sound:ukantep026.mp3],"～を予期する, 見込む<br><img src=""anticipate.jpg""><br><i>to expect something</i><br>We anticipate that prices will fall next year.",anticipate,ukantep026.mp3,anticipate.jpg
anxious<br>[sound:ukantis012.mp3],"不安な, 心配して<br><img src=""anxious.jpg""><br><i>worried and very nervous</i><br>She’s very anxious about her exams.",anxious,ukantis012.mp3,anxious.jpg
apologize<br>[sound:ukapolo001.mp3],"謝る, 謝罪する<br><img src=""apologize.jpg""><br><i>to say sorry for something bad you have done</i><br>He apologized for being rude.",apologize,ukapolo001.mp3,apologize.jpg
appeal<br>[sound:ukapolo023.mp3],"魅力, だいご味<br><img src=""paste-cf4c6ac93ad4c4b45888d4438e5405c8d2c7761e.png""><br><i>the quality that makes you like someone or something</i><br>I've never understood the appeal of skiing.",appeal,ukapolo023.mp3,paste-cf4c6ac93ad4c4b45888d4438e5405c8d2c7761e.png
appetizer<br>[sound:ukappen010.mp3],"前菜<br><img src=""appetizer.jpg""><br><i>a small amount of food eaten before a meal or as the first part of it</i><br>We had olives as an appetizer.",appetizer,ukappen010.mp3,appetizer.jpg
appliance<br>[sound:ukappen017.mp3],"電化製品, 電気器具<br><img src=""appliance.jpg""><br><i>a piece of electrical equipment with a particular purpose in the home</i><br>They sell refrigerators, dishwashers, and other electrical appliances.",appliance,ukappen017.mp3,appliance.jpg
applicant<br>[sound:ukappen019.mp3],"申請者, 応募者, 出願者<br><img src=""applicant.jpg""><br><i>someone who asks for something officially, often by writing</i><br>There were over 50 applicants for the job.",applicant,ukappen019.mp3,applicant.jpg
application<br>[sound:ukappen020.mp3],"申請, 申込, 出願アプリケーション<br><img src=""application.jpg""><br><i>an official request for something, usually in writing</i><br>an application for a bank loan",application,ukappen020.mp3,application.jpg
apply<br>[sound:ukappen024.mp3],"申し込む, 申請する, 応募する<br><img src=""apply.jpg""><br><i>to officially ask for something</i><br>I've applied for a job.",apply,ukappen024.mp3,apply.jpg
appoint<br>[sound:ukappen025.mp3],"～を指名する, 任命する<br><img src=""appoint.jpg""><br><i>to officially choose someone for a job</i><br>He was appointed as company director last year.",appoint,ukappen025.mp3,appoint.jpg
appointment<br>[sound:ukappen028.mp3],"予約, 約束<br><img src=""appointment.jpg""><br><i>a time that you have arranged to see someone</i><br>I've made an appointment with the dentist.",appointment,ukappen028.mp3,appointment.jpg
appreciable<br>[sound:ukappra005.mp3],"目に見えるほどの; 明らかな，かなりの.<br><img src=""paste-a6cdf98ae8e498ddc38b4f65063b349cb85133bc.jpg""><br><i>If an amount or change is appreciable, it is large or noticeable enough to have an important effect:</i><br>There has been an appreciable drop in the number of unemployed since the new government came to power.",appreciable,ukappra005.mp3,paste-a6cdf98ae8e498ddc38b4f65063b349cb85133bc.jpg
appreciate<br>[sound:ukappra007.mp3],"感謝する, ～の価値を認める<br><img src=""paste-426f28519df4935f2095ebe000c433365d359c76.png""><br><i>to understand how good something or someone is</i><br>He wouldn't appreciate an expensive wine.",appreciate,ukappra007.mp3,paste-426f28519df4935f2095ebe000c433365d359c76.png
appreciation<br>[sound:ukappra008.mp3],"鑑賞、評価、感謝<br><img src=""paste-d4e9162ce80a9a1714284eb8e86bc6d04becded0.jpg""><br><i>an understanding of how good something or someone is</i><br>His appreciation of art increased as he grew older.",appreciation,ukappra008.mp3,paste-d4e9162ce80a9a1714284eb8e86bc6d04becded0.jpg
appreciative<br>[sound:ukappra009.mp3],"鑑識眼のある，目の高い<br><img src=""paste-e6dbb358809a2b42fe1df9b656c08b8cb8a17434.jpg""><br><i>showing that you understand how good something is, or are grateful for something:</i><br>It's nice to have an appreciative audience.",appreciative,ukappra009.mp3,paste-e6dbb358809a2b42fe1df9b656c08b8cb8a17434.jpg
apprentice<br>[sound:ukappra015.mp3],"見習い<br><img src=""apprentice.jpg""><br><i>someone who has agreed to work for a skilled person for a particular period of time and often for low payment, in order to learn that person's skills:</i><br>Most of the work was done by apprentices.",apprentice,ukappra015.mp3,apprentice.jpg
approach<br>[sound:ukappra018.mp3],"（距離や時間が）～に近づく, 近寄る<br><img src=""paste-366371fcfd88b20fc5451a924c8f2f807a494bdc.jpg""><br><i>to come close in distance or time</i><br>The crowd cheered as she approached the finishing line.",approach,ukappra018.mp3,paste-366371fcfd88b20fc5451a924c8f2f807a494bdc.jpg
appropriate<br>[sound:ukappra022.mp3],"適切な, 正しい<br><img src=""paste-2f3cfcb6acd7e90ab16dc5f7f41f47cd76963037.jpg""><br><i>right for a particular situation or person</i><br>Is this movie appropriate for young children?",appropriate,ukappra022.mp3,paste-2f3cfcb6acd7e90ab16dc5f7f41f47cd76963037.jpg
approve<br>[sound:ukappra028.mp3],"～を承認する, 許可する<br><img src=""paste-ca9e28c1dfd213af2e2b2fe6baf58f76c697b564.png""><br><i>to allow something</i><br>The council has approved plans for a new library.",approve,ukappra028.mp3,paste-ca9e28c1dfd213af2e2b2fe6baf58f76c697b564.png
approximate<br>[sound:ukappro004.mp3],"おおよその, 概算の<br><img src=""paste-6ee604be8bbd0a0a1fa09d73fda8bdee44ec0a0a.jpg""><br><i>not completely accurate but close</i><br>What is the approximate cost of a taxi to the airport?",approximate,ukappro004.mp3,paste-6ee604be8bbd0a0a1fa09d73fda8bdee44ec0a0a.jpg
arbitrate<br>[sound:ukaquat019.mp3],"〔…の間の〕仲裁[調停]をする 〔between〕.<br><img src=""arbitrate.jpg""><br><i>to make a judgment in an argument, usually because asked to do so by those involved:</i><br>I've been asked to arbitrate between the opposing sides.",arbitrate,ukaquat019.mp3,arbitrate.jpg
area<br>[sound:ukarchi015.mp3],"地域, 地方<br><img src=""area.jpg""><br><i>a part of a country or city</i><br>a poor area",area,ukarchi015.mp3,area.jpg
argue<br>[sound:ukarchi026.mp3],"口論する, 言い合う<br><img src=""argue.jpg""><br><i>to speak angrily to someone, telling them that you disagree with them</i><br>My parents are always arguing about money.",argue,ukarchi026.mp3,argue.jpg
argument<br>[sound:ukarchi027.mp3],"議論、引数<br><img src=""paste-a2b1bc0eeb8c82a5176929f5a3718c4dc5d09977.jpg""><br><i>an angry discussion with someone in which you both disagree</i><br>They had an argument about who should clean the house.",argument,ukarchi027.mp3,paste-a2b1bc0eeb8c82a5176929f5a3718c4dc5d09977.jpg
arrange<br>[sound:ukarmho023.mp3],"～を手配する, 準備する, 計画する<br><img src=""arrange.jpg""><br><i>to make plans for something to happen</i><br>I've arranged a meeting with him.",arrange,ukarmho023.mp3,arrange.jpg
arrangement<br>[sound:ukarmho024.mp3],"準備, 用意, 計画<br><img src=""323521_Thumb_400.jpg""><br><i>plans for how something will happen</i><br>I made arrangements to meet her on Saturday.",arrangement,ukarmho024.mp3,323521_Thumb_400.jpg
assemble<br>[sound:ukassau004.mp3],"集まる, 集める, 集合する（させる）<br><img src=""assemble.jpg""><br><i>to join other people somewhere to make a group, or to bring people together into a group</i><br>They assembled in the meeting room after lunch.",assemble,ukassau004.mp3,assemble.jpg
assess<br>[sound:ukassau013.mp3],"～を査定する, 評価する<br><img src=""paste-ae0d14654af7af73a5121570de16d22d5ca6fc2e.png""><br><i>to decide how good, important, or serious something is</i><br>The tests are designed to assess reading skills.",assess,ukassau013.mp3,paste-ae0d14654af7af73a5121570de16d22d5ca6fc2e.png
asset<br>[sound:ukassau017.mp3],"【可算名詞】資産&nbsp;<br><img src=""asset.jpg""><br><i>a useful or valuable quality, skill, or person:</i><br>He'll be a great asset to the team.",asset,ukassau017.mp3,asset.jpg
assign<br>[sound:ukassau022.mp3],"〈仕事・ものを〉割り当てる，任す<br><img src=""paste-c1c103843ddced7e7915772c65c4437904edf373.jpg""><br><i>to give a particular job or piece of work to someone:</i><br>UN troops were assigned the task of rebuilding the hospital.",assign,ukassau022.mp3,paste-c1c103843ddced7e7915772c65c4437904edf373.jpg
assignment<br>[sound:ukassau024.mp3],"（仕事の）割当, （与えられた）仕事<br><img src=""assignment.jpg""><br><i>a piece of work or a job that someone gives you to do</i><br>a written assignment",assignment,ukassau024.mp3,assignment.jpg
assist<br>[sound:ukassau028.mp3],"（～を）手伝う, 援助する<br><img src=""assist.jpg""><br><i>to help</i><br>The army arrived to assist in the search for survivors.",assist,ukassau028.mp3,assist.jpg
assistance<br>[sound:ukassau029.mp3],"援助, 支援<br><img src=""assistance.jpg""><br><i>help</i><br>financial assistance",assistance,ukassau029.mp3,assistance.jpg
assume<br>[sound:ukassiz012.mp3],"（～であろうと）思う, 推測する<br><img src=""assume.jpg""><br><i>to think that something is TRUE, although you have no proof</i><br>You weren't here, so I assumed you were at home.",assume,ukassiz012.mp3,assume.jpg
attach<br>[sound:ukatomi013.mp3],"～をはり付ける<br><img src=""attach.jpg""><br><i>to join one thing to another</i><br>She attached a picture to her letter.",attach,ukatomi013.mp3,attach.jpg
attachment<br>[sound:ukatomi016.mp3],"（Eメールの）添付ファイル<br><img src=""attachment.jpg""><br><i>a computer file that is sent together with an email message</i><br>Have you opened the attachment?",attachment,ukatomi016.mp3,attachment.jpg
attend<br>[sound:ukatomi023.mp3],"（集まり）に参加する<br><img src=""attend.jpg""><br><i>to go to an event</i><br>He attended a meeting.",attend,ukatomi023.mp3,attend.jpg
attendance<br>[sound:ukatomi024.mp3],"出席者（数）, 参加者（数）<br><img src=""attendance.jpg""><br><i>the number of people who go to an event or a place such as a school or church, or how often they go there</i><br>We have seen falling attendances at football grounds.",attendance,ukatomi024.mp3,attendance.jpg
attentive<br>[sound:ukatomi028.mp3],"（人の話に）じっと耳を傾けて, （行動を）注意深く観察して<br><img src=""attentive.jpg""><br><i>listening or watching carefully and showing that you are interested</i><br>an attentive student",attentive,ukatomi028.mp3,attentive.jpg
attract<br>[sound:ukatten011.mp3],"（人）を呼び込む, 集客する<br><img src=""attract.jpg""><br><i>to make people come to a place or do a particular thing</i><br>The museum attracts more than 300,000 visitors a year.",attract,ukatten011.mp3,attract.jpg
audience<br>[sound:ukaudac005.mp3],"観客, 聴衆<br><img src=""audience.jpg""><br><i>the people who sit and watch a performance at a theatre or cinema</i><br>She lectures to audiences all over the world.",audience,ukaudac005.mp3,audience.jpg
audit<br>[sound:ukaudac007.mp3],"会計検査，(会社などの)監査.<br><img src=""audit.jpg""><br><i>to make an official examination of the accounts of a business and produce a report</i><br>As a senior citizen, he is allowed to audit university classes.",audit,ukaudac007.mp3,audit.jpg
authority<br>[sound:ukauror027.mp3],"支配力, 権力<br><img src=""authority.jpg""><br><i>the official power to make decisions or control people</i><br>a health authority",authority,ukauror027.mp3,authority.jpg
authorize<br>[sound:ukauror029.mp3],"～を許可する, 承認する<br><img src=""authorize.jpg""><br><i>to give official permission for something</i><br>Who authorized this expenditure?",authorize,ukauror029.mp3,authorize.jpg
availability<br>[sound:ukauton013.mp3],"利用できること,&nbsp;（ホテルなどの）予約状況<br><img src=""paste-ad1ded131e4c135d55158ae416e531ab80fcdc71.jpg""><br><i>the fact of being available</i><br>The ready availability of guns has contributed to the escalating violence.",availability,ukauton013.mp3,paste-ad1ded131e4c135d55158ae416e531ab80fcdc71.jpg
available<br>[sound:ukauton014.mp3],"利用可能な, 入手できる, 空いている<br><img src=""available.jpg""><br><i>If something is available, you can use it or get it</i><br>This information is available free on the internet.",available,ukauton014.mp3,available.jpg
avoid<br>[sound:ukaviat009.mp3],"～を避ける , よける<br><img src=""avoid.jpg""><br><i>to stay away from a person or place</i><br>Try to avoid the city centre.",avoid,ukaviat009.mp3,avoid.jpg
awareness<br>[sound:ukaviat026.mp3],"認識, 自覚<br><img src=""awareness.jpg""><br><i>the mental state of knowing about something</i><br>Environmental awareness is increasing all the time.",awareness,ukaviat026.mp3,awareness.jpg
awkward<br>[sound:ukawein010.mp3],"やっかいな, 扱いにくい<br><img src=""awkward.jpg""><br><i>difficult or causingproblems</i><br>an awkward question",awkward,ukawein010.mp3,awkward.jpg
background<br>[sound:ukbackc011.mp3],"経歴, 素性<br><img src=""background.jpg""><br><i>a person’s education and family</i><br>He was from a poor background.",background,ukbackc011.mp3,background.jpg
backpack<br>[sound:ukbackc021.mp3],"リュックサック, バックパック<br><img src=""backpack.jpg""><br><i>a bag that you carry on your back, with two straps that go over yourshoulders</i><br>It's a frame backpack with a belt and padded shoulder straps.",backpack,ukbackc021.mp3,backpack.jpg
baggage claim<br>[sound:cbeduk00531.mp3],"(空港の)手荷物受取所.<br><img src=""baggage-claim.jpg""><br><i>the place in an airport where you get your cases and bags when you arrive after flying:</i><br>baggage reclaim area",baggage claim,cbeduk00531.mp3,baggage-claim.jpg
balance<br>[sound:ukbalal002.mp3],"（重さの）均衡, バランス<br><img src=""balance.jpg""><br><i>a state in which weight is spread in such a way that something does not fall over</i><br>I lost my balance and fell off the bike.",balance,ukbalal002.mp3,balance.jpg
bank<br>[sound:ukbands018.mp3],"銀行<br><img src=""bank.jpg""><br><i>a place where you can keep or borrowmoney</i><br>I need to go to the bank on my way home.",bank,ukbands018.mp3,bank.jpg
bankrupt<br>[sound:ukbands025.mp3],"破産した<br><img src=""bankrupt.jpg""><br><i>not having enough money to pay what you owe to others</i><br>He went bankrupt after only a year in business.",bankrupt,ukbands025.mp3,bankrupt.jpg
bar-code<br>[sound:ukcld00067.mp3],"バーコード<br><img src=""bar-code.jpg""><br><i>a row of black lines, usually on something you buy, that a computer reads to find the price</i><br>A handheld scanner is used to read barcodes.",bar-code,ukcld00067.mp3,bar-code.jpg
bargain<br>[sound:ukbareb007.mp3],"バーゲン, 安売り, 特売品<br><img src=""bargain.jpg""><br><i>something that is sold for less than its usual price</i><br>At $8.95, it’s a bargain.",bargain,ukbareb007.mp3,bargain.jpg
